Photo_2018-11-11T150458.jpg [[144, 37], [520, 29], [138, 456], [546, 446]]
Photo_2018-06-16T172015.jpg [[118, 7], [543, 17], [127, 454], [528, 451]]
Photo_2018-06-16T162629.jpg [[105, 48], [471, 30], [120, 419], [470, 429]]
Photo_2018-06-16T161837.jpg [[101, 37], [506, 29], [120, 452], [498, 447]]
Photo_2018-06-16T153548.jpg [[168, 77], [501, 85], [166, 449], [504, 437]]
Photo_2018-06-16T152230.jpg [[167, 20], [562, 20], [151, 458], [586, 459]]
Photo_2018-06-16T143128.jpg [[150, 35], [527, 33], [134, 453], [548, 457]]
Photo_2018-06-16T125245.jpg [[122, 31], [523, 30], [112, 469], [529, 469]]
Photo_2018-06-16T120321.jpg [[134, 36], [525, 35], [122, 469], [539, 469]]
Photo_2018-06-16T115632.jpg [[87, 114], [372, 102], [110, 410], [379, 407]]
Photo_2018-06-16T110601.jpg [[115, 58], [510, 35], [146, 452], [511, 446]]
Photo_2018-06-16T110117.jpg [[144, 52], [497, 47], [130, 443], [516, 443]]
Photo_2018-06-16T100926.jpg [[134, 67], [478, 65], [143, 424], [470, 428]]
Photo_2018-06-16T100857.jpg [[94, 7], [536, 15], [105, 468], [518, 466]]
Photo_2018-06-13T191722.jpg [[178, 43], [550, 39], [169, 445], [562, 448]]
Photo_2018-06-13T182633.jpg [[127, 36], [507, 27], [110, 447], [516, 455]]
Photo_2018-06-09T174901.jpg [[124, 12], [576, 13], [158, 457], [542, 445]]
Photo_2018-06-09T165852.jpg [[111, 13], [532, 12], [125, 451], [522, 451]]
Photo_2018-06-02T222153.jpg [[150, 30], [532, 31], [137, 455], [551, 455]]
Photo_2018-06-02T202919.jpg [[120, 19], [535, 11], [116, 467], [554, 468]]
Photo_2018-06-01T211600.jpg [[150, 52], [520, 51], [136, 455], [529, 461]]
Photo_2018-05-28T161554.jpg [[122, 20], [529, 19], [115, 463], [537, 462]]
Photo_2018-05-26T172549.jpg [[159, 41], [534, 40], [163, 456], [554, 445]]
Photo_2018-05-26T163511.jpg [[135, 8], [516, 13], [115, 435], [536, 431]]
Photo_2018-05-26T154151.jpg [[110, 34], [500, 37], [98, 475], [519, 465]]
Photo_2018-05-26T144844.jpg [[192, 54], [543, 62], [176, 448], [552, 451]]
Photo_2018-05-26T140511.jpg [[143, 35], [529, 37], [138, 457], [538, 453]]
